month,flat_type,num_transactions,avg_price,min_price,max_price
2017-01,2 ROOM,18,242528.0,205000.0,300000.0
2017-01,3 ROOM,332,318484.0,225000.0,650000.0
2017-01,4 ROOM,500,430048.0,288000.0,903000.0
2017-01,5 ROOM,256,516696.0,350000.0,1108000.0
2017-01,EXECUTIVE,79,622726.0,438000.0,905000.0
2017-02,2 ROOM,15,236000.0,210000.0,268000.0
2017-02,3 ROOM,262,318326.0,220000.0,583000.0
2017-02,4 ROOM,430,436638.0,275000.0,835000.0
2017-02,5 ROOM,274,534626.0,350000.0,1180000.0
2017-02,EXECUTIVE,104,617733.0,439999.0,938888.0
2017-03,1 ROOM,2,209000.0,200000.0,218000.0
2017-03,2 ROOM,16,253656.0,208000.0,280000.0
2017-03,3 ROOM,492,320038.0,220000.0,888889.0
2017-03,4 ROOM,795,445131.0,282000.0,953000.0
2017-03,5 ROOM,453,530016.0,350000.0,1116000.0
2017-03,EXECUTIVE,145,627449.0,435000.0,1088000.0
2017-04,2 ROOM,19,231895.0,200000.0,275000.0
2017-04,3 ROOM,463,319823.0,205000.0,688000.0
2017-04,4 ROOM,804,434028.0,268000.0,918000.0
2017-04,5 ROOM,426,530356.0,345000.0,1040000.0
2017-04,EXECUTIVE,127,624134.0,450000.0,968888.0
2017-05,1 ROOM,1,217000.0,217000.0,217000.0
2017-05,2 ROOM,18,246022.0,205000.0,305000.0
2017-05,3 ROOM,504,320056.0,210000.0,810000.0
2017-05,4 ROOM,825,437962.0,270000.0,880000.0
2017-05,5 ROOM,488,538649.0,335888.0,1080000.0
2017-05,EXECUTIVE,144,615073.0,422000.0,1015000.0
2017-06,2 ROOM,24,239117.0,200000.0,268000.0
2017-06,3 ROOM,418,323188.0,210000.0,830000.0
2017-06,4 ROOM,737,440004.0,265000.0,978000.0
2017-06,5 ROOM,414,532256.0,340000.0,1080000.0
2017-06,EXECUTIVE,154,636786.0,425000.0,1010000.0
2017-07,1 ROOM,2,189000.0,175000.0,203000.0
2017-07,2 ROOM,24,238408.0,188000.0,360000.0
2017-07,3 ROOM,433,314428.0,200000.0,650000.0
2017-07,4 ROOM,764,431167.0,270000.0,910000.0
2017-07,5 ROOM,418,528686.0,335000.0,1120000.0
2017-07,EXECUTIVE,139,635303.0,438000.0,1160000.0
2017-08,1 ROOM,1,190000.0,190000.0,190000.0
2017-08,2 ROOM,22,240540.0,208000.0,295000.0
2017-08,3 ROOM,482,313794.0,200000.0,600000.0
2017-08,4 ROOM,794,441434.0,270000.0,920000.0
2017-08,5 ROOM,509,526493.0,333000.0,1028000.0
2017-08,EXECUTIVE,152,639092.0,428000.0,950000.0
2017-09,1 ROOM,2,197500.0,190000.0,205000.0
2017-09,2 ROOM,14,240143.0,202000.0,280000.0
2017-09,3 ROOM,359,316451.0,205000.0,820000.0
2017-09,4 ROOM,748,441969.0,280000.0,998000.0
2017-09,5 ROOM,430,536817.0,330000.0,1055000.0
2017-09,EXECUTIVE,126,643452.0,428000.0,1018888.0
2017-09,MULTI-GENERATION,1,700000.0,700000.0,700000.0
2017-10,2 ROOM,9,230333.0,186000.0,280000.0
2017-10,3 ROOM,460,321696.0,200000.0,758000.0
2017-10,4 ROOM,739,435108.0,285000.0,920000.0
2017-10,5 ROOM,418,534216.0,340000.0,1050000.0
2017-10,EXECUTIVE,159,609413.0,430000.0,958000.0
2017-11,1 ROOM,1,210000.0,210000.0,210000.0
2017-11,2 ROOM,25,235408.0,185000.0,410000.0
2017-11,3 ROOM,483,311347.0,205000.0,630000.0
2017-11,4 ROOM,825,436362.0,283000.0,948000.0
2017-11,5 ROOM,491,537689.0,350000.0,1138000.0
2017-11,EXECUTIVE,153,621798.0,397000.0,970777.0
2017-11,MULTI-GENERATION,2,802500.0,695000.0,910000.0
2017-12,2 ROOM,15,251100.0,198000.0,340000.0
2017-12,3 ROOM,359,316633.0,197000.0,1053888.0
2017-12,4 ROOM,643,431908.0,263000.0,888000.0
2017-12,5 ROOM,425,534891.0,335000.0,1030000.0
2017-12,EXECUTIVE,142,631796.0,420000.0,1000000.0
2017-12,MULTI-GENERATION,1,830000.0,830000.0,830000.0
2018-01,2 ROOM,15,229200.0,190000.0,263000.0
2018-01,3 ROOM,261,312211.0,220000.0,788000.0
2018-01,4 ROOM,427,435242.0,280000.0,850000.0
2018-01,5 ROOM,264,530526.0,343800.0,985000.0
2018-01,EXECUTIVE,105,644634.0,423000.0,1000000.0
2018-02,1 ROOM,1,232000.0,232000.0,232000.0
2018-02,2 ROOM,14,226511.0,195000.0,260000.0
2018-02,3 ROOM,275,307493.0,205000.0,900000.0
2018-02,4 ROOM,494,429115.0,253000.0,988888.0
2018-02,5 ROOM,286,536830.0,320000.0,1130000.0
2018-02,EXECUTIVE,113,626228.0,450000.0,985000.0
2018-03,2 ROOM,23,240978.0,189000.0,383800.0
2018-03,3 ROOM,407,306985.0,185000.0,595000.0
2018-03,4 ROOM,763,447265.0,265000.0,948888.0
2018-03,5 ROOM,497,542923.0,318888.0,1150000.0
2018-03,EXECUTIVE,191,618675.0,400000.0,1018000.0
2018-04,2 ROOM,21,222514.0,180000.0,250000.0
2018-04,3 ROOM,438,306155.0,170000.0,640000.0
2018-04,4 ROOM,734,436535.0,260000.0,958000.0
2018-04,5 ROOM,466,540202.0,345000.0,1068000.0
2018-04,EXECUTIVE,178,629906.0,390000.0,1080000.0
2018-04,MULTI-GENERATION,1,728888.0,728888.0,728888.0
2018-05,2 ROOM,24,244083.0,180000.0,418000.0
2018-05,3 ROOM,386,309928.0,200000.0,968000.0
2018-05,4 ROOM,695,432613.0,250000.0,973000.0
2018-05,5 ROOM,462,531283.0,300000.0,1080000.0
2018-05,EXECUTIVE,172,631035.0,410000.0,948000.0
2018-05,MULTI-GENERATION,1,850000.0,850000.0,850000.0
2018-06,1 ROOM,3,180333.0,176000.0,185000.0
2018-06,2 ROOM,31,239806.0,175000.0,318000.0
2018-06,3 ROOM,473,312036.0,175000.0,950000.0
2018-06,4 ROOM,779,435821.0,230000.0,1028000.0
2018-06,5 ROOM,534,528931.0,320000.0,1120088.0
2018-06,EXECUTIVE,154,624085.0,400000.0,1038000.0
2018-06,MULTI-GENERATION,1,765000.0,765000.0,765000.0
2018-07,1 ROOM,1,188000.0,188000.0,188000.0
2018-07,2 ROOM,30,248900.0,198000.0,377000.0
2018-07,3 ROOM,582,311141.0,195000.0,700000.0
2018-07,4 ROOM,1008,433046.0,225000.0,1020000.0
2018-07,5 ROOM,675,520926.0,320000.0,1088000.0
2018-07,EXECUTIVE,242,627889.0,440000.0,1150000.0
2018-07,MULTI-GENERATION,1,770000.0,770000.0,770000.0
2018-08,1 ROOM,2,174000.0,168000.0,180000.0
2018-08,2 ROOM,34,231853.0,183000.0,332000.0
2018-08,3 ROOM,492,304650.0,190000.0,888000.0
2018-08,4 ROOM,840,429950.0,245000.0,868000.0
2018-08,5 ROOM,525,532432.0,308000.0,1160888.0
2018-08,EXECUTIVE,172,653373.0,435000.0,1058000.0
2018-08,MULTI-GENERATION,2,803000.0,778000.0,828000.0
2018-09,2 ROOM,23,242126.0,160000.0,380000.0
2018-09,3 ROOM,490,299687.0,180000.0,1185000.0
2018-09,4 ROOM,798,429208.0,245000.0,1018000.0
2018-09,5 ROOM,499,512316.0,300000.0,1100000.0
2018-09,EXECUTIVE,173,628835.0,410000.0,1095000.0
2018-09,MULTI-GENERATION,2,802500.0,780000.0,825000.0
2018-10,2 ROOM,22,243818.0,185000.0,398000.0
2018-10,3 ROOM,506,305578.0,188000.0,710000.0
2018-10,4 ROOM,840,423778.0,245000.0,915000.0
2018-10,5 ROOM,484,523914.0,333000.0,1168000.0
2018-10,EXECUTIVE,134,627239.0,400000.0,1138000.0
2018-10,MULTI-GENERATION,6,824333.0,660000.0,990000.0
2018-11,1 ROOM,2,174000.0,168000.0,180000.0
2018-11,2 ROOM,29,223345.0,180000.0,348000.0
2018-11,3 ROOM,452,303612.0,195000.0,775000.0
2018-11,4 ROOM,794,425143.0,250000.0,1015000.0
2018-11,5 ROOM,443,512021.0,324000.0,1000000.0
2018-11,EXECUTIVE,145,641684.0,423000.0,1050000.0
2018-11,MULTI-GENERATION,1,750000.0,750000.0,750000.0
2018-12,2 ROOM,20,227600.0,190000.0,385000.0
2018-12,3 ROOM,357,299372.0,195000.0,693000.0
2018-12,4 ROOM,597,423192.0,225000.0,1000000.0
2018-12,5 ROOM,352,525205.0,315000.0,1150000.0
2018-12,EXECUTIVE,97,615915.0,412000.0,990000.0
2019-01,1 ROOM,1,172000.0,172000.0,172000.0
2019-01,2 ROOM,18,232833.0,190000.0,300000.0
2019-01,3 ROOM,393,297993.0,180000.0,660000.0
2019-01,4 ROOM,650,427312.0,235000.0,925000.0
2019-01,5 ROOM,366,520332.0,320000.0,1185000.0
2019-01,EXECUTIVE,122,627358.0,395000.0,955000.0
2019-02,1 ROOM,2,182500.0,180000.0,185000.0
2019-02,2 ROOM,25,233156.0,185000.0,378000.0
2019-02,3 ROOM,330,298790.0,190000.0,628000.0
2019-02,4 ROOM,543,422785.0,264000.0,950000.0
2019-02,5 ROOM,312,536128.0,308888.0,1035000.0
2019-02,EXECUTIVE,91,624166.0,392000.0,1028000.0
2019-02,MULTI-GENERATION,1,840000.0,840000.0,840000.0
2019-03,1 ROOM,3,169667.0,165000.0,172000.0
2019-03,2 ROOM,31,235093.0,185000.0,400000.0
2019-03,3 ROOM,406,303934.0,195000.0,790000.0
2019-03,4 ROOM,701,431137.0,240000.0,978000.0
2019-03,5 ROOM,401,531679.0,300000.0,1133000.0
2019-03,EXECUTIVE,111,626567.0,460000.0,1145000.0
2019-04,1 ROOM,1,173268.0,173268.0,173268.0
2019-04,2 ROOM,26,237723.0,180000.0,375000.0
2019-04,3 ROOM,454,294882.0,175000.0,800000.0
2019-04,4 ROOM,828,426521.0,250000.0,968000.0
2019-04,5 ROOM,464,529689.0,318000.0,1200000.0
2019-04,EXECUTIVE,141,612140.0,400000.0,1008000.0
2019-04,MULTI-GENERATION,1,740000.0,740000.0,740000.0
2019-05,1 ROOM,3,183333.0,180000.0,187000.0
2019-05,2 ROOM,32,239328.0,175000.0,385000.0
2019-05,3 ROOM,494,300290.0,170000.0,810000.0
2019-05,4 ROOM,865,428634.0,240000.0,1030000.0
2019-05,5 ROOM,506,526989.0,302000.0,1170000.0
2019-05,EXECUTIVE,168,607182.0,420000.0,1000000.0
2019-05,MULTI-GENERATION,2,784000.0,718000.0,850000.0
2019-06,2 ROOM,30,223067.0,176000.0,320000.0
2019-06,3 ROOM,452,296723.0,193000.0,750000.0
2019-06,4 ROOM,791,428663.0,240000.0,1038000.0
2019-06,5 ROOM,472,523115.0,308000.0,1188000.0
2019-06,EXECUTIVE,136,622017.0,430000.0,979000.0
2019-06,MULTI-GENERATION,3,826296.0,798888.0,840000.0
2019-07,2 ROOM,47,227293.0,160000.0,275000.0
2019-07,3 ROOM,502,298470.0,190000.0,975000.0
2019-07,4 ROOM,848,430253.0,262000.0,1110000.0
2019-07,5 ROOM,556,523039.0,310000.0,1205000.0
2019-07,EXECUTIVE,158,627007.0,395000.0,1150000.0
2019-07,MULTI-GENERATION,3,806333.0,723000.0,930000.0
2019-08,2 ROOM,44,230318.0,180000.0,402000.0
2019-08,3 ROOM,440,300310.0,172000.0,645000.0
2019-08,4 ROOM,804,428831.0,230000.0,1050000.0
2019-08,5 ROOM,452,527793.0,320000.0,1200000.0
2019-08,EXECUTIVE,160,600036.0,395000.0,915000.0
2019-08,MULTI-GENERATION,2,764444.0,740000.0,788888.0
2019-09,1 ROOM,1,165000.0,165000.0,165000.0
2019-09,2 ROOM,42,228890.0,178000.0,388000.0
2019-09,3 ROOM,467,298923.0,185000.0,850000.0
2019-09,4 ROOM,719,432161.0,235000.0,1040000.0
2019-09,5 ROOM,459,531628.0,270000.0,1030000.0
2019-09,EXECUTIVE,142,614627.0,410000.0,1040000.0
2019-10,2 ROOM,42,221357.0,150000.0,265000.0
2019-10,3 ROOM,561,299518.0,180000.0,780000.0
2019-10,4 ROOM,900,429985.0,242000.0,945500.0
2019-10,5 ROOM,535,526216.0,342000.0,1100000.0
2019-10,EXECUTIVE,167,609839.0,425000.0,888000.0
2019-10,MULTI-GENERATION,1,905000.0,905000.0,905000.0
2019-11,2 ROOM,43,220205.0,178000.0,273000.0
2019-11,3 ROOM,449,302669.0,180000.0,750000.0
2019-11,4 ROOM,814,434782.0,230888.0,1068000.0
2019-11,5 ROOM,473,525195.0,315000.0,1080000.0
2019-11,EXECUTIVE,130,623653.0,430000.0,1020000.0
2019-11,MULTI-GENERATION,1,988888.0,988888.0,988888.0
2019-12,2 ROOM,34,222885.0,178000.0,275000.0
2019-12,3 ROOM,475,301085.0,188000.0,690000.0
2019-12,4 ROOM,765,433874.0,236888.0,1056800.0
2019-12,5 ROOM,431,523007.0,275000.0,999000.0
2019-12,EXECUTIVE,143,626876.0,415888.0,1010000.0
2020-01,2 ROOM,34,229009.0,150000.0,405000.0
2020-01,3 ROOM,453,304580.0,173000.0,855000.0
2020-01,4 ROOM,824,424613.0,238000.0,1008000.0
2020-01,5 ROOM,469,521696.0,290000.0,1008888.0
2020-01,EXECUTIVE,131,629185.0,436000.0,1025000.0
2020-02,1 ROOM,1,157000.0,157000.0,157000.0
2020-02,2 ROOM,38,235118.0,175000.0,380000.0
2020-02,3 ROOM,366,303591.0,140000.0,623888.0
2020-02,4 ROOM,736,434621.0,250000.0,980000.0
2020-02,5 ROOM,407,537080.0,308000.0,1100000.0
2020-02,EXECUTIVE,113,623113.0,430000.0,1000000.0
2020-03,1 ROOM,2,162500.0,160000.0,165000.0
2020-03,2 ROOM,50,230658.0,180000.0,270000.0
2020-03,3 ROOM,458,302609.0,178000.0,715000.0
2020-03,4 ROOM,815,432761.0,218000.0,1030000.0
2020-03,5 ROOM,473,531733.0,320000.0,1232000.0
2020-03,EXECUTIVE,139,626445.0,428888.0,1030000.0
2020-04,2 ROOM,4,232750.0,198000.0,258000.0
2020-04,3 ROOM,95,286696.0,190000.0,470000.0
2020-04,4 ROOM,174,433700.0,240000.0,900000.0
2020-04,5 ROOM,113,533638.0,280000.0,1010001.0
2020-04,EXECUTIVE,38,608961.0,435000.0,970000.0
2020-05,1 ROOM,1,165000.0,165000.0,165000.0
2020-05,2 ROOM,8,222375.0,170000.0,263000.0
2020-05,3 ROOM,85,302594.0,211000.0,660000.0
2020-05,4 ROOM,129,440979.0,288000.0,900000.0
2020-05,5 ROOM,106,536873.0,335000.0,1140000.0
2020-05,EXECUTIVE,34,599703.0,435000.0,1030000.0
2020-06,1 ROOM,2,192500.0,180000.0,205000.0
2020-06,2 ROOM,45,230120.0,180000.0,315000.0
2020-06,3 ROOM,639,299293.0,180000.0,665000.0
2020-06,4 ROOM,982,439663.0,252000.0,1186888.0
2020-06,5 ROOM,588,525217.0,300000.0,1150000.0
2020-06,EXECUTIVE,182,609335.0,430000.0,975000.0
2020-07,1 ROOM,2,186500.0,168000.0,205000.0
2020-07,2 ROOM,62,232323.0,160000.0,390000.0
2020-07,3 ROOM,614,305102.0,174000.0,880000.0
2020-07,4 ROOM,985,438092.0,262000.0,1085000.0
2020-07,5 ROOM,599,533112.0,310000.0,1060000.0
2020-07,EXECUTIVE,193,612807.0,405000.0,1080000.0
2020-07,MULTI-GENERATION,1,775000.0,775000.0,775000.0
2020-08,2 ROOM,42,224252.0,180000.0,385000.0
2020-08,3 ROOM,563,314693.0,180000.0,835000.0
2020-08,4 ROOM,974,443731.0,248000.0,1088000.0
2020-08,5 ROOM,631,525511.0,325000.0,1185000.0
2020-08,EXECUTIVE,215,633407.0,400000.0,960000.0
2020-08,MULTI-GENERATION,1,725000.0,725000.0,725000.0
2020-09,2 ROOM,38,233224.0,188000.0,300000.0
2020-09,3 ROOM,548,319065.0,200000.0,1000000.0
2020-09,4 ROOM,1054,453977.0,260000.0,1100000.0
2020-09,5 ROOM,643,547415.0,327500.0,1258000.0
2020-09,EXECUTIVE,197,640683.0,445500.0,1078000.0
2020-09,MULTI-GENERATION,2,742500.0,670000.0,815000.0
2020-10,2 ROOM,40,246015.0,182000.0,400088.0
2020-10,3 ROOM,504,327016.0,203000.0,700000.0
2020-10,4 ROOM,1008,471108.0,265000.0,1070000.0
2020-10,5 ROOM,640,555118.0,348000.0,1208000.0
2020-10,EXECUTIVE,232,653853.0,468000.0,1128000.0
2020-10,MULTI-GENERATION,3,823333.0,750000.0,940000.0
2020-11,1 ROOM,2,197500.0,180000.0,215000.0
2020-11,2 ROOM,27,246618.0,180000.0,508000.0
2020-11,3 ROOM,512,328509.0,210000.0,855000.0
2020-11,4 ROOM,972,466570.0,260000.0,1020000.0
2020-11,5 ROOM,618,559472.0,307500.0,1248000.0
2020-11,EXECUTIVE,190,652036.0,480000.0,1028000.0
2020-11,MULTI-GENERATION,1,730000.0,730000.0,730000.0
2020-12,2 ROOM,30,243467.0,195000.0,300000.0
2020-12,3 ROOM,547,327917.0,210000.0,850000.0
2020-12,4 ROOM,994,473414.0,250000.0,1013888.0
2020-12,5 ROOM,697,567170.0,350000.0,1218888.0
2020-12,EXECUTIVE,218,666163.0,450000.0,1058000.0
2021-01,1 ROOM,1,182000.0,182000.0,182000.0
2021-01,2 ROOM,38,257158.0,180000.0,510000.0
2021-01,3 ROOM,532,333168.0,205000.0,895000.0
2021-01,4 ROOM,1046,475041.0,300000.0,975000.0
2021-01,5 ROOM,651,581613.0,350000.0,1210000.0
2021-01,EXECUTIVE,222,672446.0,452000.0,1028000.0
2021-01,MULTI-GENERATION,1,860000.0,860000.0,860000.0
2021-02,1 ROOM,2,192500.0,180000.0,205000.0
2021-02,2 ROOM,32,254222.0,200000.0,330000.0
2021-02,3 ROOM,466,334804.0,210000.0,697000.0
2021-02,4 ROOM,877,482039.0,280000.0,1018000.0
2021-02,5 ROOM,619,592404.0,360000.0,1160000.0
2021-02,EXECUTIVE,162,679676.0,485000.0,1210000.0
2021-02,MULTI-GENERATION,2,780000.0,695000.0,865000.0
2021-03,1 ROOM,2,194000.0,190000.0,198000.0
2021-03,2 ROOM,28,259821.0,210000.0,308000.0
2021-03,3 ROOM,559,338612.0,203000.0,830000.0
2021-03,4 ROOM,1061,491918.0,276000.0,1120000.0
2021-03,5 ROOM,621,586000.0,370000.0,1220000.0
2021-03,EXECUTIVE,170,695936.0,480000.0,1092888.0
2021-03,MULTI-GENERATION,2,860000.0,860000.0,860000.0
2021-04,1 ROOM,1,205000.0,205000.0,205000.0
2021-04,2 ROOM,35,254584.0,208500.0,445000.0
2021-04,3 ROOM,462,344541.0,222000.0,1140000.0
2021-04,4 ROOM,1031,491067.0,280000.0,1065000.0
2021-04,5 ROOM,627,592816.0,350000.0,1250000.0
2021-04,EXECUTIVE,175,700701.0,490000.0,1160000.0
2021-04,MULTI-GENERATION,2,647500.0,600000.0,695000.0
2021-05,1 ROOM,1,190000.0,190000.0,190000.0
2021-05,2 ROOM,26,260861.0,205000.0,325000.0
2021-05,3 ROOM,408,354866.0,230000.0,845000.0
2021-05,4 ROOM,854,512513.0,250000.0,1078000.0
2021-05,5 ROOM,524,598035.0,370000.0,1210000.0
2021-05,EXECUTIVE,143,685968.0,425000.0,1060000.0
2021-05,MULTI-GENERATION,1,820000.0,820000.0,820000.0
2021-06,1 ROOM,1,205000.0,205000.0,205000.0
2021-06,2 ROOM,29,257089.0,215001.0,338000.0
2021-06,3 ROOM,470,352574.0,230000.0,1268000.0
2021-06,4 ROOM,985,502630.0,270000.0,1115000.0
2021-06,5 ROOM,623,599301.0,350000.0,1238800.0
2021-06,EXECUTIVE,191,701503.0,478000.0,1235000.0
2021-06,MULTI-GENERATION,3,823667.0,630000.0,921000.0
2021-07,1 ROOM,1,220000.0,220000.0,220000.0
2021-07,2 ROOM,31,259254.0,203000.0,338000.0
2021-07,3 ROOM,584,351642.0,225000.0,1140000.0
2021-07,4 ROOM,1098,502123.0,300000.0,1030000.0
